26,"Брошюра ""Русский народ и Конституция РФ"", автор – Вострягов В.А. Издавалась в ООО «Сандерс» (средство массовой информации",2007-07-12,Решение Заволжского районного суда города Ульяновск от 12.07.2007,http://minjust.ru/ru/node/2820
27,"Брошюра ""Это должен знать Русский», автор – Вострягов В.А. Издавалась в ООО «Сандерс» (средство массовой информации",2007-07-12,Решение Заволжского районного суда города Ульяновск от 12.07.2007,http://minjust.ru/ru/node/2821
28,"Брошюра ""Что делать….."", автор – Вострягов В.А. Издавалась в ООО «Сандерс» (средство массовой информации",2007-07-12,Решение Заволжского районного суда города Ульяновск от 12.07.2007,http://minjust.ru/ru/node/2822
29,"Брошюра ""Сарынь на кичку!"", автор Добровольский А.А. Издавалось в ОАО «Дом печати «Вятка»",2007-08-22,Решение Ленинского районного суда Кировской области от 22.08.2007,http://minjust.ru/ru/node/2823
30,"Брошюра ""Язычество: закат и рассвет"", автор Добровольский А.А. Издавалось в ОАО «Дом печати «Вятка»",2007-08-22,Решение Ленинского районного суда Кировской области от 22.08.2007,http://minjust.ru/ru/node/2824
31,"Газета «Дивизия» №1 - Газета Русского Прикамья, 2001",2007-07-26,решение Индустриального районного суда города Ижевска Удмуртской Республики от 26.07.2007,http://minjust.ru/ru/node/2825
32,"Газета «Ижевская дивизия» № 2,3,4,5 - Газета Русского Прикамья, 2001",2007-07-26,решение Индустриального районного суда города Ижевска Удмуртской Республики от 26.07.2007,http://minjust.ru/ru/node/2826
33,DVD -диск «Зов к исламской умме. Как долго еще?»,2007-10-10,решение Ленинского районного суда города Уфы от 10.10.2007,http://minjust.ru/ru/node/2827
34,Книга Такиуддина ан-Набохони «Система ислама»,2007-09-05,решение Туймазинского районного суда Республики Башкортостан от 05.09.2007,http://minjust.ru/ru/node/2828
35,Книга Такиуддина ан-Набохони «Исламское государство»,2007-09-05,решение Туймазинского районного суда Республики Башкортостан от 05.09.2007,http://minjust.ru/ru/node/2829
36,Книга Такиуддина ан-Набохони «Демократия – система безверия»,2007-09-05,решение Туймазинского районного суда Республики Башкортостан от 05.09.2007,http://minjust.ru/ru/node/2830
37,Книга Такиуддина ан-Набохони «Политическая концепция Хизб ут-Тахрир»,2007-09-05,решение Туймазинского районного суда Республики Башкортостан от 05.09.2007,http://minjust.ru/ru/node/2831
38,Журнал «Аль-Ваъй» № 215,2007-09-05,решение Туймазинского районного суда Республики Башкортостан от 05.09.2007,http://minjust.ru/ru/node/2832
39,Журнал «Аль-Ваъй» № 221,2007-09-05,решение Туймазинского районного суда Республики Башкортостан от 05.09.2007,http://minjust.ru/ru/node/2833
40,Журнал «Аль-Ваъй» № 230,2007-09-05,решение Туймазинского районного суда Республики Башкортостан от 05.09.2007,http://minjust.ru/ru/node/2834
41,Журнал «Аль-Ваъй» № 233,2007-09-05,решение Туймазинского районного суда Республики Башкортостан от 05.09.2007,http://minjust.ru/ru/node/2835
42,Журнал «Аль-Ваъй» № 234,2007-09-05,решение Туймазинского районного суда Республики Башкортостан от 05.09.2007,http://minjust.ru/ru/node/2836
43,Журнал «Аль-Ваъй» № 235,2007-09-05,решение Туймазинского районного суда Республики Башкортостан от 05.09.2007,http://minjust.ru/ru/node/2837
44,Журнал «Аль-Ваъй» № 236,2007-09-05,решение Туймазинского районного суда Республики Башкортостан от 05.09.2007,http://minjust.ru/ru/node/2838
45,"Книга из собраний сочинений Саида Нурси «Рисале-и Нур» «Вера и человек», 2000 год издания, перевод М.Г. Тамимдарова",2007-05-21,решение Коптевского районного суда САО г. Москвы от 21.05.2007,http://minjust.ru/ru/node/2839
46,"Книга из собраний сочинений Саида Нурси «Рисале-и Нур» «Основы искренности», 2000 год издания, переводчик не указан",2007-05-21,решение Коптевского районного суда САО г. Москвы от 21.05.2007,http://minjust.ru/ru/node/2840
47,"Книга из собраний сочинений Саида Нурси «Рисале-и Нур» «Истины вечности души», 2000 год издания, перевод М.Ш. Абдуллаева",2007-05-21,решение Коптевского районного суда САО г. Москвы от 21.05.2007,http://minjust.ru/ru/node/2841
48,"Книга из собраний сочинений Саида Нурси «Рисале-и Нур» «Истины веры», 2000 год издания, переводчик не указан",2007-05-21,решение Коптевского районного суда САО г. Москвы от 21.05.2007,http://minjust.ru/ru/node/2842
49,"Книга из собраний сочинений Саида Нурси «Рисале-и Нур» «Путеводитель для женщин», 2000 год издания, перевод М.Ш. Абдуллаева",2007-05-21,решение Коптевского районного суда САО г. Москвы от 21.05.2007,http://minjust.ru/ru/node/2843
50,"Книга из собраний сочинений Саида Нурси «Рисале-и Нур» «Плоды веры», 2000 год издания, перевод М.Г. Тамимдарова",2007-05-21,решение Коптевского районного суда САО г. Москвы от 21.05.2007,http://minjust.ru/ru/node/2844
51,"Книга из собраний сочинений Саида Нурси «Рисале-и Нур» «Рамадан. Бережливость. Благодарность», 2000 год издания, переводчик не указан",2007-05-21,решение Коптевского районного суда САО г. Москвы от 21.05.2007,http://minjust.ru/ru/node/2845
52,"Книга из собраний сочинений Саида Нурси «Рисале-и Нур» «Мунаджат (Молитва). Третий луч», 2002 год издания, перевод М.Г. Тамимдарова",2007-05-21,решение Коптевского районного суда САО г. Москвы от 21.05.2007,http://minjust.ru/ru/node/2846
53,"Книга из собраний сочинений Саида Нурси «Рисале-и Нур» «Тридцать три окна», 2004 год издания, перевод М. Ирсала",2007-05-21,решение Коптевского районного суда САО г. Москвы от 21.05.2007,http://minjust.ru/ru/node/2847
54,"Книга из собраний сочинений Саида Нурси «Рисале-и Нур» «Основы братства», 2004 год издания, перевод М.Г. Тамимдарова",2007-05-21,решение Коптевского районного суда САО г. Москвы от 21.05.2007,http://minjust.ru/ru/node/2848
55,"Книга из собраний сочинений Саида Нурси «Рисале-и Нур» «Путь истины», 2004 год издания, перевод М.Ш. Абдуллаева, М.Г. Тамимдарова",2007-05-21,решение Коптевского районного суда САО г. Москвы от 21.05.2007,http://minjust.ru/ru/node/2849
56,"Книга из собраний сочинений Саида Нурси «Рисале-и Нур» «Посох Мусы», год издания не указан, перевод Т.Н. Галимова, М.Г. Тамимдарова",2007-05-21,решение Коптевского районного суда САО г. Москвы от 21.05.2007,http://minjust.ru/ru/node/2850
57,"Книга из собраний сочинений Саида Нурси «Рисале-и Нур» «Краткие слова», год издания не указан, перевод М.Г. Тамимдарова",2007-05-21,решение Коптевского районного суда САО г. Москвы от 21.05.2007,http://minjust.ru/ru/node/2851
58,"Книга из собраний сочинений Саида Нурси «Рисале-и Нур» «Брошюра для больных», 2003 год издания, перевод М.Г. Тамимдарова",2007-05-21,решение Коптевского районного суда САО г. Москвы от 21.05.2007,http://minjust.ru/ru/node/2852
59,"Материалы, опубликованные в газете «За Русь!» за 2005 год № 4 (49) редактор и издатель С. Путинцев",2007-06-21,решение Ленинского суда г. Новороссийска от 21.06.2007,http://minjust.ru/ru/node/2853
60,"Материалы, опубликованные в газете «За Русь!» за 2006 год № 1 (50) редактор и издатель С. Путинцев",2007-06-21,решение Ленинского суда г. Новороссийска от 21.06.2007,http://minjust.ru/ru/node/2854
61,"Материалы, опубликованные в газете «За Русь!» за 2006 год № 2 (51) редактор и издатель С. Путинцев",2007-06-21,решение Ленинского суда г. Новороссийска от 21.06.2007,http://minjust.ru/ru/node/2855
62,Информационные материалы статьи «Давайте сдохнем» газеты «PARA BELLUM» № 9 за декабрь 2005 г,2007-09-25,решение Советского районного суда г. Челябинска от 25.09.2007,http://minjust.ru/ru/node/2856
63,Информационные материалы статьи «Апофеоз прелюдий» газеты «PARA BELLUM» № 9 за декабрь 2005 г,2007-09-25,решение Советского районного суда г. Челябинска от 25.09.2007,http://minjust.ru/ru/node/2857
64,Книга «Основы исламского вероучения (Усус аль-акида)»,2007-10-19,решение Бугурусланского городского суда Оренбургской области от 06.08.2007 и определение Бугурусланского городского суда Оренбургской области от 19.10.2007,http://minjust.ru/ru/node/2858
65,"Книга «Исламская акида (вероучение, убеждение, воззрение) по Священному Корану и достоверным изречениям пророка Мухаммада»",2007-10-19,решение Бугурусланского городского суда Оренбургской области от 06.08.2007 и определение Бугурусланского городского суда Оренбургской области от 19.10.2007,http://minjust.ru/ru/node/2859
66,Брошюра «Ас-Саляфия (правда и вымысел)»,2007-10-19,решение Бугурусланского городского суда Оренбургской области от 06.08.2007 и определение Бугурусланского городского суда Оренбургской области от 19.10.2007,http://minjust.ru/ru/node/2860
67,"Книга «Жизнеописание пророка, да благословит его Аллах и приветствует»",2007-10-19,решение Бугурусланского городского суда Оренбургской области от 06.08.2007 и определение Бугурусланского городского суда Оренбургской области от 19.10.2007,http://minjust.ru/ru/node/2861
68,Брошюра «Ислам сегодня»,2007-10-19,решение Бугурусланского городского суда Оренбургской области от 06.08.2007 и определение Бугурусланского городского суда Оренбургской области от 19.10.2007,http://minjust.ru/ru/node/2862
69,Книга «Слово о единстве»,2007-10-19,решение Бугурусланского городского суда Оренбургской области от 06.08.2007 и определение Бугурусланского городского суда Оренбургской области от 19.10.2007,http://minjust.ru/ru/node/2863
70,Книга «Установление законов Аллаха»,2007-10-19,решение Бугурусланского городского суда Оренбургской области от 06.08.2007 и определение Бугурусланского городского суда Оренбургской области от 19.10.2007,http://minjust.ru/ru/node/2864
71,Книга «Программы по изучению шариатских наук»,2007-10-19,решение Бугурусланского городского суда Оренбургской области от 06.08.2007 и определение Бугурусланского городского суда Оренбургской области от 19.10.2007,http://minjust.ru/ru/node/2865
72,"Книга «Объяснение основ веры», краткий очерк догматов ислама",2007-10-19,решение Бугурусланского городского суда Оренбургской области от 06.08.2007 и определение Бугурусланского городского суда Оренбургской области от 19.10.2007,http://minjust.ru/ru/node/2866
73,"Книга «Личность мусульманина, в том виде, который стремится придать ей ислам с помощью Корана и Сунны». 4-е издание",2007-10-19,решение Бугурусланского городского суда Оренбургской области от 06.08.2007 и определение Бугурусланского городского суда Оренбургской области от 19.10.2007,http://minjust.ru/ru/node/2867
74,Книга «Отведение сомнений»,2007-10-19,решение Бугурусланского городского суда Оренбургской области от 06.08.2007 и определение Бугурусланского городского суда Оренбургской области от 19.10.2007,http://minjust.ru/ru/node/2868
75,"Книга «Книга единобожия», Салих ибн Фавзан ал Фавзан",2007-10-19,решение Бугурусланского городского суда Оренбургской области от 06.08.2007 и определение Бугурусланского городского суда Оренбургской области от 19.10.2007,http://minjust.ru/ru/node/2869
76,Брошюра «Разъяснение основ веры: заметки об истинном вероучении»,2007-10-19,решение Бугурусланского городского суда Оренбургской области от 06.08.2007 и определение Бугурусланского городского суда Оренбургской области от 19.10.2007,http://minjust.ru/ru/node/2870
77,Книга «Жизнь шейха Мухаммада ибн Абд аль-Ваххаба…»,2007-10-19,решение Бугурусланского городского суда Оренбургской области от 06.08.2007 и определение Бугурусланского городского суда Оренбургской области от 19.10.2007,http://minjust.ru/ru/node/2871
78,Книга «Основы ислама»,2007-10-19,решение Бугурусланского городского суда Оренбургской области от 06.08.2007 и определение Бугурусланского городского суда Оренбургской области от 19.10.2007,http://minjust.ru/ru/node/2872
79,Брошюра «Необходимость соблюдения «Сунны Посланника Аллаха» (да благословит его Аллах и приветствует)»,2007-10-19,решение Бугурусланского городского суда Оренбургской области от 06.08.2007 и определение Бугурусланского городского суда Оренбургской области от 19.10.2007,http://minjust.ru/ru/node/2873
80,Листовка с эссе «Бал сатаны на обломках России» за подписью «Протоколы сахалинских мудрецов»,2007-10-31,решение Южно-Сахалинского городского суда от 31.10.2007,http://minjust.ru/ru/node/2874
81,Печатный материал «Русская фаланга» № 14 (42) от 25 декабря 2004 года,2007-10-05,решение Октябрьского районного суда города Ижевска от 05.10.2007,http://minjust.ru/ru/node/2875
82,Печатный материал «Республика» № 4 (18-24 апреля 2004 года,2007-10-05,решение Октябрьского районного суда города Ижевска от 05.10.2007,http://minjust.ru/ru/node/2876
83,Печатный материал «Наш народный наблюдатель» № 1 (ноябрь 2003 года,2007-10-05,решение Октябрьского районного суда города Ижевска от 05.10.2007,http://minjust.ru/ru/node/2877
84,Брошюра «Исламская Вера»,2007-11-16,решение Правобережного районного суда г. Магнитогорска Челябинской области от 16.11.2007,http://minjust.ru/ru/node/2878
85,Брошюра «Приближение к Аллаху – путь к успеху»,2007-11-16,решение Правобережного районного суда г. Магнитогорска Челябинской области от 16.11.2007,http://minjust.ru/ru/node/2879
86,Брошюра «Сознание «Аль-Ваъй» № 203,2007-11-16,решение Правобережного районного суда г. Магнитогорска Челябинской области от 16.11.2007,http://minjust.ru/ru/node/2880
87,Брошюра «Сознание «Аль-Ваъй» № 204,2007-11-16,решение Правобережного районного суда г. Магнитогорска Челябинской области от 16.11.2007,http://minjust.ru/ru/node/2881
88,Брошюра «Сознание «Аль-Ваъй» № 205,2007-11-16,решение Правобережного районного суда г. Магнитогорска Челябинской области от 16.11.2007,http://minjust.ru/ru/node/2882
89,Брошюра «Сознание «Аль-Ваъй» № 207,2007-11-16,решение Правобережного районного суда г. Магнитогорска Челябинской области от 16.11.2007,http://minjust.ru/ru/node/2883
90,Брошюра «Сознание «Аль-Ваъй» № 208,2007-11-16,решение Правобережного районного суда г. Магнитогорска Челябинской области от 16.11.2007,http://minjust.ru/ru/node/2884
91,Брошюра «Вхождение в общество»,2007-11-16,решение Правобережного районного суда г. Магнитогорска Челябинской области от 16.11.2007,http://minjust.ru/ru/node/2885
92,Брошюра «Партийное сплочение»,2007-11-16,решение Правобережного районного суда г. Магнитогорска Челябинской области от 16.11.2007,http://minjust.ru/ru/node/2886
93,Брошюра «Прокламации относительно хода действий»,2007-11-16,решение Правобережного районного суда г. Магнитогорска Челябинской области от 16.11.2007,http://minjust.ru/ru/node/2887
94,Брошюра «Путь к Вере»,2007-11-16,решение Правобережного районного суда г. Магнитогорска Челябинской области от 16.11.2007,http://minjust.ru/ru/node/2888
95,Брошюра «Тафсир Аятов»,2007-11-16,решение Правобережного районного суда г. Магнитогорска Челябинской области от 16.11.2007,http://minjust.ru/ru/node/2889
96,Брошюра «Система Ислама»,2007-11-16,решение Правобережного районного суда г. Магнитогорска Челябинской области от 16.11.2007,http://minjust.ru/ru/node/2890
97,Листовка со стихотворением «Обращение к русским мужчинам на 23 февраля» за подписью «Русские женщины»,2007-12-14,решение Южно-Сахалинского городского суда от 14.12.2007,http://minjust.ru/ru/node/2891
98,"Листовка с заголовком «Уважаемые земляки!», завершающаяся текстом «Вступайте в Славянский союз!»",2007-12-14,решение Южно-Сахалинского городского суда от 14.12.2007,http://minjust.ru/ru/node/2892
99,Листовка «Славянский союз» с тремя изображениями и высказыванием «Скажи «нет» инородной сволочи!!! Вступайте в СС»,2007-10-25,решение Южно-Сахалинского городского суда от 25.10.2007,http://minjust.ru/ru/node/2893
100,Стихотворение «Чуда-Юда» за подписью «Николай Федоров»,2007-10-25,решение Южно-Сахалинского городского суда от 25.10.2007,http://minjust.ru/ru/node/2894
101,Фильм «Россия с ножом в спине. Еврейский фашизм и геноцид русского народа»,2008-07-28,"решение Ленинского районного суда г. Кирова от 29.08.2007, решение Приморского районного суда Санкт-Петербурга от 28.07.2008",http://minjust.ru/ru/node/2895
102,"Статья «Религиозная экспансия или духовный экстремизм?», опубликованная в газете «Чуйские зори» № 21 (2664) от 24 мая 2007 под псевдонимом «В. Калягин»",2008-01-23,решение Кош-Агачского районного суда Республики Алтай от 23.01.2008,http://minjust.ru/ru/node/2896
103,Текст песни «Просторы Европы» музыкальной группы «Циклон Б»,2007-10-01,решение Нагатинского суда г. Москвы от 01.10.2007,http://minjust.ru/ru/node/2897
104,Текст песни «Хрустальная ночь» музыкальной группы «Циклон Б»,2007-10-01,решение Нагатинского суда г. Москвы от 01.10.2007,http://minjust.ru/ru/node/2898
